URL,Date,People complaining,Total complaints,Total arrivals,Total departures,Total movements,Complaints per movement,People complaining per movement,People complaining per hour,Complaints per hour,Complaints per person
http://heathrowoperationaldata.com/24th-October-2016,24th-October-2016,114,657,680,682,"1,324",0.50,0.09,4.75,27.38,5.76
http://heathrowoperationaldata.com/23rd-October-2016,23rd-October-2016,86,553,668,661,"1,361",0.41,0.06,3.58,23.04,6.43
http://heathrowoperationaldata.com/22nd-October-2016,22nd-October-2016,82,414,642,644,"1,318",0.31,0.06,3.42,17.25,5.05
http://heathrowoperationaldata.com/21st-October-2016,21st-October-2016,60,317,686,693,"1,351",0.23,0.04,2.50,13.21,5.28
http://heathrowoperationaldata.com/20th-October-2016,20th-October-2016,71,391,676,676,"1,342",0.29,0.05,2.96,16.29,5.51
http://heathrowoperationaldata.com/19th-October-2016,19th-October-2016,75,297,667,665,"1,347",0.22,0.06,3.13,12.38,3.96
http://heathrowoperationaldata.com/18th-October-2016,18th-October-2016,78,354,668,666,"1,332",0.27,0.06,3.25,14.75,4.54
http://heathrowoperationaldata.com/17th-October-2016,17th-October-2016,85,379,676,680,"1,312",0.29,0.06,3.54,15.79,4.46
http://heathrowoperationaldata.com/16th-October-2016,16th-October-2016,72,426,671,664,"1,359",0.31,0.05,3.00,17.75,5.92
http://heathrowoperationaldata.com/15th-October-2016,15th-October-2016,86,440,637,636,"1,315",0.33,0.07,3.58,18.33,5.12
http://heathrowoperationaldata.com/14th-October-2016,14th-October-2016,105,415,685,688,"1,350",0.31,0.08,4.38,17.29,3.95
http://heathrowoperationaldata.com/13th-October-2016,13th-October-2016,93,347,677,678,"1,340",0.26,0.07,3.88,14.46,3.73
http://heathrowoperationaldata.com/12th-October-2016,12th-October-2016,111,510,662,665,"1,348",0.38,0.08,4.63,21.25,4.59
http://heathrowoperationaldata.com/11th-October-2016,11th-October-2016,147,538,671,663,"1,334",0.40,0.11,6.13,22.42,3.66
http://heathrowoperationaldata.com/10th-October-2016,10th-October-2016,128,672,678,686,"1,322",0.51,0.10,5.33,28.00,5.25
http://heathrowoperationaldata.com/9th-October-2016,9th-October-2016,125,313,671,663,"1,352",0.23,0.09,5.21,13.04,2.50
http://heathrowoperationaldata.com/8th-October-2016,8th-October-2016,80,292,638,644,"1,315",0.22,0.06,3.33,12.17,3.65
http://heathrowoperationaldata.com/7th-October-2016,7th-October-2016,80,364,677,681,"1,353",0.27,0.06,3.33,15.17,4.55
http://heathrowoperationaldata.com/6th-October-2016,6th-October-2016,67,384,676,677,"1,354",0.28,0.05,2.79,16.00,5.73
http://heathrowoperationaldata.com/5th-October-2016,5th-October-2016,64,228,680,676,"1,362",0.17,0.05,2.67,9.50,3.56
http://heathrowoperationaldata.com/4th-October-2016,4th-October-2016,73,316,675,678,"1,341",0.24,0.05,3.04,13.17,4.33
http://heathrowoperationaldata.com/3rd-October-2016,3rd-October-2016,86,273,684,682,"1,340",0.20,0.06,3.58,11.38,3.17
http://heathrowoperationaldata.com/2nd-October-2016,2nd-October-2016,51,202,672,666,"1,359",0.15,0.04,2.13,8.42,3.96
http://heathrowoperationaldata.com/1st-October-2016,1st-October-2016,44,224,649,656,"1,334",0.17,0.03,1.83,9.33,5.09
http://heathrowoperationaldata.com/30th-September-2016,30th-September-2016,42,206,687,687,"1,369",0.15,0.03,1.75,8.58,4.90
http://heathrowoperationaldata.com/29th-September-2016,29th-September-2016,27,109,681,685,"1,363",0.08,0.02,1.13,4.54,4.04
http://heathrowoperationaldata.com/28th-September-2016,28th-September-2016,28,109,685,682,"1,374",0.08,0.02,1.17,4.54,3.89
http://heathrowoperationaldata.com/27th-September-2016,27th-September-2016,39,114,686,682,"1,362",0.08,0.03,1.63,4.75,2.92
http://heathrowoperationaldata.com/26th-September-2016,26th-September-2016,64,124,682,689,"1,327",0.09,0.05,2.67,5.17,1.94
http://heathrowoperationaldata.com/25th-September-2016,25th-September-2016,58,172,687,676,"1,376",0.13,0.04,2.42,7.17,2.97
http://heathrowoperationaldata.com/24th-September-2016,24th-September-2016,35,136,637,645,"1,332",0.10,0.03,1.46,5.67,3.89
http://heathrowoperationaldata.com/23rd-September-2016,23rd-September-2016,48,231,690,689,"1,373",0.17,0.03,2.00,9.63,4.81
http://heathrowoperationaldata.com/22nd-September-2016,22nd-September-2016,69,183,692,695,"1,378",0.13,0.05,2.88,7.63,2.65
http://heathrowoperationaldata.com/21st-September-2016,21st-September-2016,85,311,686,683,"1,374",0.23,0.06,3.54,12.96,3.66
http://heathrowoperationaldata.com/20th-September-2016,20th-September-2016,110,356,687,686,"1,360",0.26,0.08,4.58,14.83,3.24
http://heathrowoperationaldata.com/19th-September-2016,19th-September-2016,71,212,684,688,"1,327",0.16,0.05,2.96,8.83,2.99
http://heathrowoperationaldata.com/18th-September-2016,18th-September-2016,50,141,683,673,"1,353",0.10,0.04,2.08,5.88,2.82
